"version=1"
""
"Sys category id"	"Name"
"-1"	"Outros"
"0"	"Jogos"
"1"	"Música e áudio"
"2"	"Filmes e vídeos"
"3"	"Fotos e imagens"
"4"	"Social e comunicação"
"5"	"Notícias e revistas"
"6"	"Mapas e navegação"
"7"	"Produtividade"
""
"App"	"Package"	"Category"	"User-defined"
"Agenda Fácil"	"saude.prefeitura.sp.gov.br.autoagendamento"	"Outros"	"0"
"Video Downloader"	"com.downloadlab.facebook.video.downloader"	"Produtividade"	"0"
"2048 World"	"com.nlabsoft.world2048"	"Jogos"	"1"
"QR Scanner"	"com.apple.qrcode.reader"	"Produtividade"	"0"
"Snapseed"	"com.niksoftware.snapseed"	"Fotos e imagens"	"0"
"Fruit Ninja"	"com.halfbrick.fruitninjafree"	"Outros"	"0"
"500px"	"com.fivehundredpx.viewer"	"Fotos e imagens"	"0"
"Card Party"	"com.bombayplay.CardCrack"	"Jogos"	"0"
"Joplin"	"net.cozic.joplin"	"Produtividade"	"0"
"Solitaire"	"com.microsoft.microsoftsolitairecollection"	"Jogos"	"0"
"Wallpaper Camisa SPFC"	"com.leba001.camisaspfc"	"Outros"	"0"
"Lapse 2"	"com.cornago.stefano.lapse2"	"Jogos"	"0"
"Lapse"	"com.cornago.stefano.lapse"	"Jogos"	"0"
"Palavras Cruzadas Diretas"	"com.fgcos.palavras_cruzadas_diretas"	"Jogos"	"0"
"Exodus"	"org.eu.exodus_privacy.exodusprivacy"	"Produtividade"	"0"
"Pokémon GO"	"com.nianticlabs.pokemongo"	"Jogos"	"0"
"Wemoji"	"com.picmax.wemoji"	"Social e comunicação"	"0"
"Moon+ Reader"	"com.flyersoft.moonreader"	"Produtividade"	"0"
"World Soccer Champs"	"com.monkeyibrow.worldsoccerchamps"	"Jogos"	"0"
"Chess Universe"	"com.kingsofgames.chessuniverse"	"Jogos"	"0"
"TwiMate Downloader"	"twimate.tweetdownloader.savetwittergif.twittervideodownloader"	"Filmes e vídeos"	"0"
"Among Us"	"com.innersloth.spacemafia"	"Jogos"	"1"
"Classic Blocks"	"cn.herofight.classicblocks"	"Jogos"	"0"
"Gravador de Voz Fácil"	"com.coffeebeanventures.easyvoicerecorder"	"Produtividade"	"0"
"SofaScore"	"com.sofascore.results"	"Outros"	"0"
"KAMI 2"	"com.stateofplaygames.kami2"	"Jogos"	"0"
"Infinitode"	"com.prineside.tdi"	"Jogos"	"0"
"UNO"	"com.matteljv.uno"	"Jogos"	"0"
"Uno Friends"	"uno.friends.card.ono"	"Jogos"	"0"
"Dominó"	"air.com.jogatina.domino.android"	"Jogos"	"0"
"Discord"	"com.discord"	"Social e comunicação"	"0"
"Soccer Stars"	"com.miniclip.soccerstars"	"Jogos"	"0"
"Zé Entregador"	"com.zedelivery.deliveryman"	"Outros"	"0"
"Postknight"	"com.kurechii.postknight"	"Jogos"	"0"
"Google Sala de Aula"	"com.google.android.apps.classroom"	"Outros"	"0"
"Brasfoot"	"com.brasfoot.v2020"	"Jogos"	"0"
"Enel SP"	"br.com.trinitysolucoes.saemobile"	"Produtividade"	"0"
"Kahoot!"	"no.mobitroll.kahoot.android"	"Outros"	"0"
"Compass Free"	"com.compassapp.compassfree"	"Produtividade"	"0"
"San Luti Pizzaria"	"com.wabiz.delivery.sanluti"	"Outros"	"0"
"Bullet Echo"	"com.zeptolab.bulletecho.google"	"Jogos"	"0"
"Brasil nos Jogos de Tóquio"	"com.romapp.brasil_em_toquio"	"Outros"	"0"
""
"Created by App Usage on quarta-feira, 11 de agosto de 2021 20:00"
